Average,,,,,
e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,Time_0,Time,Pressure
0.00999967,-0.00134424,-0.00286186,1259.282,974.9996,103647.5939
0.0108947,-0.0014461,-0.00675874,1264.2826,980.0002,103452.2302
0.00976917,-0.0013644,-0.00199532,1269.2824,985,103434.9
0.0139346,-0.00181617,-0.014016,1274.2828,990.0004,103712.1122
0.0125488,-0.00172003,-0.0103741,1279.2823,994.9999,103665.2426
0.0112742,-0.00156049,-0.0065418,1284.2829,1000.0005,103513.9575
0.0100882,-0.00143493,-0.00344728,1289.2826,1005.0002,103606.8372
0.012044,-0.00155305,-0.0092801,1294.283,1010.0006,103811.0486
0.0130884,-0.00174344,-0.0116197,1299.2828,1015.0004,103729.3453
0.0117389,-0.00161464,-0.00822519,1304.2829,1020.0005,103538.4555
0.0105656,-0.00145117,-0.00443938,1309.2821,1024.9997,103645.4762
0.0146171,-0.00184274,-0.0142913,1314.282,1029.9996,103825.4971
0.0133245,-0.00180093,-0.0119114,1319.2824,1035,103734.03
0.0119792,-0.00166962,-0.0083304,1324.2832,1040.0008,103549.8011
0.0107774,-0.00149657,-0.00546838,1329.2822,1044.9998,103481.1507
0.0148183,-0.00190293,-0.0150064,1334.2829,1050.0005,103787.0518
0.013529,-0.00182474,-0.0121465,1339.2831,1055.0007,103744.8679
0.0121555,-0.00169966,-0.00928528,1344.2829,1060.0005,103569.4466
0.0109207,-0.00154921,-0.00564875,1349.283,1065.0006,103793.3828
0.0125456,-0.00167235,-0.0108905,1354.2822,1069.9998,103894.4209
0.0137428,-0.00189114,-0.0128019,1359.2827,1075.0003,103766.8171
0.0123834,-0.0017508,-0.0089112,1364.2818,1079.9994,103555.3101
0.0111825,-0.00159043,-0.0057454,1369.2827,1085.0003,103684.7219
0.0152408,-0.00199444,-0.0154285,1374.2829,1090.0005,103878.9589
0.0137697,-0.00191343,-0.0128524,1379.2823,1094.9999,103778.2232
0.0124229,-0.00174899,-0.00914366,1384.2824,1100,103601.82
0.0111919,-0.00158833,-0.00551364,1389.2822,1104.9998,103677.6292
0.0152409,-0.00200346,-0.0151335,1394.2825,1110.0001,103868.6296
0.0138298,-0.00189539,-0.0123046,1399.2831,1115.0007,103778.2733
0.0124862,-0.00172971,-0.00934163,1404.2825,1120.0001,103582.045
0.0112016,-0.00163959,-0.00708175,1409.2821,1124.9997,103819.4542
0.0153044,-0.00203503,-0.0150407,1414.2829,1130.0005,103933.023
0.0138639,-0.00191406,-0.0123543,1419.283,1135.0006,103810.6247
0.0125115,-0.0017286,-0.00911332,1424.2826,1140.0002,103667.5745
0.0113121,-0.00159827,-0.00565787,1429.2825,1145.0001,103712.159
0.0156082,-0.00205503,-0.015542,1434.2825,1150.0001,103706.2938
0.0141167,-0.00192636,-0.0127916,1439.2823,1154.9999,103752.1908
0.0127437,-0.00175863,-0.00943923,1444.283,1160.0006,103691.9159
0.0135453,-0.00178871,-0.0119898,1449.2823,1164.9999,103992.186
0.0129104,-0.00175405,-0.0102684,1454.2829,1170.0005,103978.433
0.014279,-0.00187932,-0.0127939,1459.2826,1175.0002,103799.8201
0.0129835,-0.00175413,-0.0101547,1464.283,1180.0006,103629.9807
0.0136914,-0.00181839,-0.0118919,1469.282,1184.9996,103934.387
0.0155427,-0.00209034,-0.0150119,1474.283,1190.0006,103910.2406
0.0140485,-0.00194623,-0.0128008,1479.2821,1194.9997,103752.3969
0.0126943,-0.00176245,-0.00973322,1484.2823,1199.9999,103937.5963
0.0133393,-0.00180376,-0.0111624,1489.2825,1205.0001,104035.5283
0.0152962,-0.00207686,-0.0142449,1494.2827,1210.0003,103899.3066
0.0138513,-0.00192576,-0.0114181,1499.2822,1214.9998,103775.5359
0.0125443,-0.00175218,-0.00881432,1504.2822,1219.9998,104040.3738
0.0164021,-0.0022048,-0.0162736,1509.2819,1224.9995,104004.4233
0.0149055,-0.00205705,-0.0140311,1514.2829,1230.0005,103815.9273
0.0134741,-0.00187631,-0.0109987,1519.2831,1235.0007,103927.1254
0.0139514,-0.00183971,-0.0124214,1524.2827,1240.0003,104062.1479
0.0160132,-0.00214837,-0.0150665,1529.2828,1245.0004,103958.1234
0.0145079,-0.00199107,-0.0127689,1534.2827,1250.0003,103900.722
0.0131039,-0.00184845,-0.00985328,1539.2826,1255.0002,104154.6901
0.0169966,-0.0022341,-0.0171927,1544.2829,1260.0005,104073.6101
0.015512,-0.00211965,-0.0144642,1549.2829,1265.0005,103863.1629
0.0140523,-0.00195882,-0.0126872,1554.2823,1269.9999,104041.9493
0.0168032,-0.00216865,-0.0161353,1559.283,1275.0006,104115.904
0.0164121,-0.00220467,-0.0154514,1564.2827,1280.0003,103960.8292
0.01486,-0.00207121,-0.013187,1569.2825,1285.0001,103872.2623
0.0134584,-0.00191724,-0.00980546,1574.2828,1290.0004,103864.2682
0.0173255,-0.00230787,-0.0168114,1579.2817,1294.9993,103942.5572
0.0157553,-0.00219028,-0.014059,1584.2819,1299.9995,103870.6558
0.0142613,-0.00203946,-0.012387,1589.2825,1305.0001,103931.4999
0.0155407,-0.00211397,-0.0148266,1594.2828,1310.0004,103986.071
0.0142403,-0.00200401,-0.0119797,1599.2825,1315.0001,104225.4107
0.0155031,-0.00212069,-0.0142286,1604.2825,1320.0001,104175.3583
0.0141502,-0.00195298,-0.0117282,1609.2831,1325.0007,103997.763
0.01539,-0.00204983,-0.0139715,1614.2829,1330.0005,104156.6683
0.0153512,-0.00208183,-0.0137432,1619.282,1334.9996,104224.6449
